"","biosample_id","organism","subspecies","strain","host","host_taxid","isolation_source","env_local_scale","collected_by","geo_loc_name","collection_date","first_public","lat_lon","year","type","public.year"
"NC_002163.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NC_002516.2","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NC_016603.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NC_016838.1","","",NA,"","","","","","","","","","",NA,"plasmid",NA
"NC_016839.1","","",NA,"","","","","","","","","","",NA,"plasmid",NA
"NC_016845.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NC_016846.1","","",NA,"","","","","","","","","","",NA,"plasmid",NA
"NC_019985.2","","",NA,"","","","","","","","","","",NA,"plasmid",NA
"NZ_CP012001.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NZ_CP013032.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NZ_CP013036.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NZ_CP013116.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NZ_CP049015.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NZ_CP058289.1","","",NA,"","","","","","","","","","",NA,"chromosome",NA
"NZ_AP014622.1","SAMD00018700","Pseudomonas aeruginosa",NA,"NCGM1900","Homo sapiens",NA,NA,"Multidrug-resistant Pseudomonas aeruginosa",NA,"Japan: Hyogo prefecture","2012",NA,NA,2012,"chromosome",NA
"NZ_AP014646.1","SAMD00019082","Pseudomonas aeruginosa",NA,"NCGM1984","Homo sapiens",NA,NA,NA,NA,"Japan: Aomori prefecture","2012",NA,NA,2012,"chromosome",NA
"NZ_AP014649.1","SAMD00020223","Acinetobacter baumannii",NA,"IOMTU433","Homo sapiens",NA,NA,NA,NA,"Nepal: Kathmandu","2013",NA,NA,2013,"chromosome",NA
"NZ_AP014650.1","SAMD00020223","Acinetobacter baumannii",NA,"IOMTU433","Homo sapiens",NA,NA,NA,NA,"Nepal: Kathmandu","2013",NA,NA,2013,"plasmid",NA
"NZ_AP014651.1","SAMD00020552","Pseudomonas aeruginosa",NA,"NCGM257","Homo sapiens",NA,NA,"Urinary infection",NA,"Tokyo","2004-11",NA,"35.7 N 139.7 E",2004,"chromosome",NA
"NZ_AP014839.1","SAMD00027370","Pseudomonas aeruginosa",NA,"8380","Homo sapiens",NA,NA,"missing",NA,"Japan","1989-11-22",NA,"missing",1989,"chromosome",NA
"NZ_AP017302.1","SAMD00042491","Pseudomonas aeruginosa",NA,"IOMTU 133","Homo sapiens",NA,NA,"missing",NA,"Nepal: Kathmandu","2012",NA,"27.7 N 85.3 E",2012,"chromosome",NA
"NZ_AP017618.1","SAMD00056131","Escherichia coli",NA,"MRY15-117","Bos taurus",NA,NA,"missing",NA,"Japan","2012",NA,"missing",2012,"plasmid",NA
"NZ_AP017621.1","SAMD00056132","Escherichia coli",NA,"MRY15-131","Bos taurus",NA,NA,"missing",NA,"Japan","2013",NA,"missing",2013,"plasmid",NA
"NZ_AP023077.1","SAMD00059694","Acinetobacter baumannii",NA,"OCU_Ac16a",NA,NA,NA,"not applicable",NA,"not applicable","2015-12-19",NA,"not applicable",2015,"chromosome",NA
"NZ_AP023080.1","SAMD00059694","Acinetobacter baumannii",NA,"OCU_Ac16a",NA,NA,NA,"not applicable",NA,"not applicable","2015-12-19",NA,"not applicable",2015,"plasmid",NA
"NZ_AP018750.1","SAMD00059741","Klebsiella pneumoniae",NA,"KP64","Homo sapiens",NA,NA,"human urine",NA,"Thailand:Bangkok","2016-04-16",NA,"13.7660 N 100.5268 E",2016,"chromosome",NA
"NZ_AP018752.1","SAMD00059741","Klebsiella pneumoniae",NA,"KP64","Homo sapiens",NA,NA,"human urine",NA,"Thailand:Bangkok","2016-04-16",NA,"13.7660 N 100.5268 E",2016,"plasmid",NA
"NZ_AP018753.1","SAMD00059744","Klebsiella pneumoniae",NA,"KP67","Homo sapiens",NA,NA,"human urine",NA,"Thailand:Bangkok","2016-03-22",NA,"13.7660 N 100.5268 E",2016,"chromosome",NA
"NZ_AP018755.1","SAMD00059744","Klebsiella pneumoniae",NA,"KP67","Homo sapiens",NA,NA,"human urine",NA,"Thailand:Bangkok","2016-03-22",NA,"13.7660 N 100.5268 E",2016,"plasmid",NA
"NZ_AP018147.1","SAMD00059754","Escherichia coli",NA,"M217","Homo sapiens",NA,NA,"human blood",NA,"Myanmar:Yangon","2015-08-24",NA,"16.7788 N 96.1490 E",2015,"plasmid",NA
"NZ_AP019190.1","SAMD00059754","Escherichia coli",NA,"M217","Homo sapiens",NA,NA,"human blood",NA,"Myanmar:Yangon","2015-08-24",NA,"16.7788 N 96.1490 E",2015,"plasmid",NA
"NC_012731.1","SAMD00060934","Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044",NA,"NTUH-K2044",NA,NA,"isolated from blood of a patient with liver abscess and meningitis",NA,NA,NA,NA,NA,NA,NA,"chromosome",NA
"NC_013365.1","SAMD00060957","Escherichia coli O111:H- str. 11128",NA,"11128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plasmid",NA
"NC_017549.1","SAMD00061003","Pseudomonas aeruginosa NCGM2.S1",NA,"NCGM2.S1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chromosome",NA
"NZ_AP012496.1","SAMD00061007","Bacillus subtilis BEST7003",NA,"BEST7003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chromosome",NA
"NZ_AP013064.1","SAMD00061009","Serratia marcescens SM39",NA,"SM39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plasmid",NA
"NZ_AP013357.1","SAMD00061019","Acinetobacter baumannii NCGM 237",NA,"NCGM 237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chromosome",NA
"NZ_BFCA01000003.1","SAMD00066597","Klebsiella pneumoniae",NA,"TUM16641",NA,NA,NA,"missing",NA,"Japan:Tokyo","2016-06-19",NA,"35.594707 N 139.693635 E",2016,"plasmid",NA
"NZ_BFCA01000004.1","SAMD00066597","Klebsiella pneumoniae",NA,"TUM16641",NA,NA,NA,"missing",NA,"Japan:Tokyo","2016-06-19",NA,"35.594707 N 139.693635 E",2016,"plasmid",NA
"NZ_AP024113.1","SAMD00077025","Escherichia coli",NA,"ECSC054","Homo sapiens",NA,NA,"missing",NA,"Japan","2004",NA,"missing",2004,"plasmid",NA
"NZ_AP018380.1","SAMD00092833","Neisseria gonorrhoeae",NA,"FC428","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Osaka","2015",NA,"not collected",2015,"plasmid",NA
"NZ_AP018384.1","SAMD00092837","Neisseria gonorrhoeae",NA,"FC460","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Osaka","2015",NA,"not collected",2015,"plasmid",NA
"NZ_AP023292.1","SAMD00097500","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4233","Bos taurus",NA,NA,"missing",NA,"Japan","2014",NA,"missing",2014,"chromosome",NA
"NZ_AP023294.1","SAMD00097501","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4261","Bos taurus",NA,NA,"missing",NA,"Japan","2014",NA,"missing",2014,"chromosome",NA
"NZ_AP023289.1","SAMD00097506","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-3837","Bos taurus",NA,NA,"missing",NA,"Japan","2008",NA,"missing",2008,"chromosome",NA
"NZ_AP023291.1","SAMD00097514","Salmonella enterica subsp. enterica serovar Typhimurium",NA,"L-4126","Bos taurus",NA,NA,"missing",NA,"Japan","1998",NA,"missing",1998,"chromosome",NA
"NZ_AP023219.2","SAMD00099774","Escherichia coli",NA,"M505","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2016-06-01",NA,"16.7788 N 96.1490 E",2016,"chromosome",NA
"NZ_AP023220.2","SAMD00099774","Escherichia coli",NA,"M505","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2016-06-01",NA,"16.7788 N 96.1490 E",2016,"plasmid",NA
"NZ_AP023221.2","SAMD00099774","Escherichia coli",NA,"M505","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2016-06-01",NA,"16.7788 N 96.1490 E",2016,"plasmid",NA
"NZ_AP022351.1","SAMD00108729","Escherichia coli",NA,"E138","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Osaka","2015-12",NA,"missing",2015,"chromosome",NA
"NZ_AP018747.1","SAMD00110861","Klebsiella pneumoniae",NA,"KP33","Homo sapiens",NA,NA,"urine",NA,"Thailand:Bangkok","2014-06-13",NA,"13.766619 N 100.526786 E",2014,"chromosome",NA
"NZ_AP018748.1","SAMD00110861","Klebsiella pneumoniae",NA,"KP33","Homo sapiens",NA,NA,"urine",NA,"Thailand:Bangkok","2014-06-13",NA,"13.766619 N 100.526786 E",2014,"plasmid",NA
"NZ_AP018565.1","SAMD00112925","Morganella morganii",NA,"MH16-367M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2016",NA,"21.0277 N 105.8341 E",2016,"plasmid",NA
"NZ_AP018571.1","SAMD00112928","Citrobacter freundii",NA,"MH16-522D","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2016",NA,"21.0277 N 105.8341 E",2016,"plasmid",NA
"NZ_AP018572.1","SAMD00112930","Escherichia coli",NA,"MH13-051M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2013",NA,"21.0277 N 105.8341 E",2013,"plasmid",NA
"NZ_AP018574.1","SAMD00112930","Escherichia coli",NA,"MH13-051M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2013",NA,"21.0277 N 105.8341 E",2013,"plasmid",NA
"NZ_AP018577.1","SAMD00112932","Klebsiella pneumoniae",NA,"MH15-289M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2015",NA,"21.0277 N 105.8341 E",2015,"plasmid",NA
"NZ_AP018578.1","SAMD00112933","Klebsiella pneumoniae",NA,"MH16-398D","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2016",NA,"21.0277 N 105.8341 E",2016,"plasmid",NA
"NZ_AP018579.1","SAMD00112934","Klebsiella pneumoniae",NA,"MH15-258M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2015",NA,"21.0277 N 105.8341 E",2015,"plasmid",NA
"NZ_AP018580.1","SAMD00112935","Klebsiella pneumoniae",NA,"MH15-208H","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2015",NA,"21.0277 N 105.8341 E",2015,"plasmid",NA
"NZ_AP018582.1","SAMD00112937","Klebsiella pneumoniae",NA,"MH13-055M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2013",NA,"21.0277 N 105.8341 E",2013,"plasmid",NA
"NZ_AP018583.1","SAMD00112940","Klebsiella pneumoniae",NA,"MH16-390M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2016",NA,"21.0277 N 105.8341 E",2016,"plasmid",NA
"NZ_AP018584.1","SAMD00112942","Klebsiella pneumoniae",NA,"MH16-335M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2016",NA,"21.0277 N 105.8341 E",2016,"plasmid",NA
"NZ_AP018557.1","SAMD00114672","Klebsiella pneumoniae",NA,"missing","Homo sapiens",NA,NA,"missing",NA,"missing","2014-05-15",NA,"missing",2014,"plasmid",NA
"NZ_AP018671.1","SAMD00116246","Klebsiella pneumoniae",NA,"GSU10-3",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08",NA,"35.655196 N 139.833548 E",2017,"chromosome",NA
"NZ_AP018672.1","SAMD00116246","Klebsiella pneumoniae",NA,"GSU10-3",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08",NA,"35.655196 N 139.833548 E",2017,"plasmid",NA
"NZ_AP018673.1","SAMD00116246","Klebsiella pneumoniae",NA,"GSU10-3",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08",NA,"35.655196 N 139.833548 E",2017,"plasmid",NA
"NZ_AP018674.1","SAMD00116246","Klebsiella pneumoniae",NA,"GSU10-3",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08",NA,"35.655196 N 139.833548 E",2017,"plasmid",NA
"NZ_AP018783.1","SAMD00119544","Haemophilus influenzae",NA,"CHBN-V-3","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Chiba","2015",NA,"not collected",2015,"chromosome",NA
"NZ_AP018797.1","SAMD00129666","Escherichia coli",NA,"E2855","Bos taurus",NA,NA,"missing",NA,"Japan","2001",NA,"missing",2001,"plasmid",NA
"NZ_AP018799.1","SAMD00129666","Escherichia coli",NA,"E2855","Bos taurus",NA,NA,"missing",NA,"Japan","2001",NA,"missing",2001,"plasmid",NA
"NZ_AP018803.1","SAMD00129667","Escherichia coli",NA,"E2863","Bos taurus",NA,NA,"missing",NA,"Japan","2013",NA,"missing",2013,"plasmid",NA
"NZ_AP018926.1","SAMD00133818","Escherichia coli O121",NA,"EC12050","Homo sapiens",NA,NA,"not applicable",NA,"Japan","2012",NA,"not collected",2012,"plasmid",NA
"NZ_AP023337.1","SAMD00141414","Klebsiella pneumoniae",NA,"MH15-269M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2015",NA,"21.0277 N 105.8341 E",2015,"chromosome",NA
"NZ_AP023341.1","SAMD00141414","Klebsiella pneumoniae",NA,"MH15-269M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2015",NA,"21.0277 N 105.8341 E",2015,"plasmid",NA
"NZ_AP019382.1","SAMD00143514","Enterobacter cloacae",NA,"NUH12_ECL006","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Nagoya","2012",NA,"35.181666 N 136.906688 E",2012,"plasmid",NA
"NZ_AP019384.1","SAMD00143517","Enterobacter cloacae subsp. cloacae",NA,"NUH14_ECL028","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Nagoya","2014",NA,"35.181666 N 136.906688 E",2014,"plasmid",NA
"NZ_AP019383.1","SAMD00143518","Enterobacter asburiae",NA,"NUH13_ECL030","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Nagoya","2013",NA,"35.181666 N 136.906688 E",2013,"plasmid",NA
"NZ_AP019387.1","SAMD00143519","Enterobacter asburiae",NA,"NUH15_ECL032","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Nagoya","2015",NA,"35.181666 N 136.906688 E",2015,"plasmid",NA
"NZ_AP019388.1","SAMD00143520","Enterobacter asburiae",NA,"NUH15_ECL035","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Nagoya","2015",NA,"35.181666 N 136.906688 E",2015,"plasmid",NA
"NZ_AP019193.1","SAMD00144877","Aeromonas hydrophila",NA,"GSH8-2",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08",NA,"35.631549 N 139.745949 E",2018,"chromosome",NA
"NZ_AP019194.1","SAMD00144877","Aeromonas hydrophila",NA,"GSH8-2",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08",NA,"35.631549 N 139.745949 E",2018,"plasmid",NA
"NZ_AP019195.1","SAMD00144878","Aeromonas caviae",NA,"GSH8M-1",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08",NA,"35.631549 N 139.745949 E",2018,"chromosome",NA
"NZ_AP019196.1","SAMD00144878","Aeromonas caviae",NA,"GSH8M-1",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08",NA,"35.631549 N 139.745949 E",2018,"plasmid",NA
"NZ_AP019197.1","SAMD00144878","Aeromonas caviae",NA,"GSH8M-1",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08",NA,"35.631549 N 139.745949 E",2018,"plasmid",NA
"NZ_AP023224.1","SAMD00157542","Escherichia coli",NA,"YJ1","Homo sapiens",NA,NA,"not applicable",NA,"Myanmar:Yangon","2018-03",NA,"16.866069 N 96.195132 E",2018,"chromosome",NA
