"","NucCoreID","BioSampleID","N.betalactamase.hits","Gene.hits","Country","Region","Year","TaxSpecies","TaxGenus","TaxFamily","TaxOrder","TaxClass","TaxPhylum","NCBI.host","NCBI.isolation_source","NCBI.env_local_scale","NCBI.collected_by","Contig"
"NC_002163.1","NC_002163.1",NA,1,"OXA-193","missing","missing","missing","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","","","","","chromosome"
"NC_002516.2","NC_002516.2",NA,1,"OXA-50","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","","","","","chromosome"
"NC_016603.1","NC_016603.1",NA,1,"OXA-642","missing","missing","missing","Acinetobacter pittii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","","","","","chromosome"
"NC_016838.1","NC_016838.1",NA,1,"CTX-M-14","missing","missing","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","","","","","plasmid"
"NC_016839.1","NC_016839.1",NA,2,"TEM-1,CTX-M-14","missing","missing","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","","","","","plasmid"
"NC_016845.1","NC_016845.1",NA,1,"SHV-11","missing","missing","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","","","","","chromosome"
"NC_016846.1","NC_016846.1",NA,2,"TEM-1,KPC-2","missing","missing","missing","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","","","","","plasmid"
"NC_019985.2","NC_019985.2",NA,1,"NDM-23","missing","missing","missing","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","","","","","plasmid"
"NZ_CP012001.1","NZ_CP012001.1","SAMN03761153",1,"OXA-904","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","","","","","chromosome"
"NZ_CP013032.1","NZ_CP013032.1",NA,1,"OXA-193","missing","missing","missing","Campylobacter coli","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","","","","","chromosome"
"NZ_CP013036.1","NZ_CP013036.1",NA,2,"OXA-193,OXA-659","missing","missing","missing","Campylobacter coli","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","","","","","chromosome"
"NZ_CP013116.1","NZ_CP013116.1",NA,1,"OXA-193","missing","missing","missing","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","","","","","chromosome"
"NZ_CP049015.1","NZ_CP049015.1","SAMN14128751",1,"CMY-72","missing","missing","2018","Citrobacter freundii","Citrobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","","","","","chromosome"
